PeakLeft,ActivationLeft,DeactivationLeft,PeakRight,ActivationRight,DeactivationRight,MeanLeft,MeanRight,Label
0.18,0.03,0.99,0.2,0,0.94,-0.22,1,1
0.18,0,0.99,0.33,0.06,0.99,-0.38,1,0
0.2,0.05,0.99,0.16,0,0.92,0.61,1,1
0.21,0,0.9,0.29,0.05,0.99,1,0.71,0
0.24,0.09,0.96,0.23,0,0.99,0.25,1,1
0.16,0,0.88,0.2,0.03,0.99,1,0.68,0
0.22,0.06,0.99,0.19,0,0.94,-0.01,1,1
0.18,0,0.96,0.26,0.04,0.99,1,-0.99,0
0.23,0.07,0.99,0.22,0,0.95,0.08,1,1
0.15,0,0.87,0.32,0.03,0.99,1,0.36,0
0.25,0.06,0.99,0.19,0,0.96,-0.03,1,1
0.19,0,0.99,0.18,0.02,0.87,0.24,1,0
0.27,0.1,0.99,0.19,0,0.84,1,0.3,1
0.17,0,0.9,0.22,0.03,0.99,1,0.27,0
0.21,0.07,0.99,0.2,0,0.92,-0.87,1,1
0.19,0,0.94,0.32,0.08,0.99,-0.52,1,0
0.26,0.09,0.99,0.19,0,0.93,-0.04,1,1
0.18,0,0.92,0.29,0.09,0.99,-0.72,1,0
0.26,0.1,0.98,0.23,0,0.99,0.18,1,1
0.21,0,0.99,0.2,0.03,0.9,0.19,1,0
0.24,0.08,0.99,0.23,0,0.86,0.67,1,1
0.16,0,0.94,0.21,0.07,0.99,-0.5,1,0
0.24,0.06,0.99,0.21,0,0.96,0.1,1,1
0.18,0,0.95,0.22,0.06,0.99,1,0.24,0
0.22,0.04,0.99,0.21,0,0.84,0.52,1,1
0.22,0,0.99,0.23,0.03,0.94,0.12,1,0
0.26,0.11,0.99,0.2,0,0.92,-0.18,1,1
0.2,0,0.96,0.23,0.06,0.99,-0.78,1,0
0.21,0.01,0.99,0.18,0,0.82,0.35,1,1
0.18,0,0.95,0.24,0.03,0.99,1,-0.77,0
0.25,0.11,0.96,0.22,0,0.99,0.2,1,1
0.21,0,0.98,0.25,0.05,0.99,1,-0.45,0
0.24,0.08,0.99,0.22,0,0.93,-0.36,1,1
0.19,0,0.95,0.22,0.04,0.99,1,0.04,0
0.23,0.07,0.99,0.22,0,0.96,0.21,1,1
0.19,0.01,0.99,0.23,0,0.96,-0.27,1,0
0.22,0.07,0.99,0.22,0,0.92,0.07,1,1
0.2,0,0.99,0.29,0.11,0.96,-0.13,1,0
0.23,0.06,0.99,0.22,0,0.93,-0.14,1,1
0.19,0,0.99,0.22,0.03,0.87,0.19,1,0
0.23,0.06,0.99,0.22,0,0.97,0.16,1,1
0.23,0,0.99,0.24,0.03,0.87,0.21,1,0
0.23,0.07,0.99,0.19,0,0.92,1,-0.73,1
0.21,0,0.99,0.23,0.05,0.92,0.02,1,0
0.23,0.08,0.99,0.24,0,0.98,0.17,1,1
0.19,0,0.99,0.21,0.01,0.91,0.18,1,0
0.23,0.09,0.99,0.2,0,0.99,0.19,1,1
0.18,0,0.9,0.23,0.03,0.99,1,0.83,0
0.22,0.07,0.99,0.17,0,0.9,1,-0.49,1
0.18,0,0.93,0.22,0.03,0.99,1,0.97,0
0.22,0.05,0.99,0.17,0,0.97,0.47,1,1
0.21,0,0.98,0.24,0.06,0.99,-0.22,1,0
0.24,0.07,0.99,0.18,0,0.9,-0.72,1,1
0.17,0,0.92,0.21,0.01,0.99,1,0.25,0
0.21,0.05,0.99,0.21,0,0.92,0.84,1,1
0.2,0,0.99,0.24,0.05,0.94,0.04,1,0
0.23,0.07,0.99,0.18,0,0.92,-0.35,1,1
0.2,0,0.99,0.24,0.03,0.98,-0.31,1,0
0.24,0.04,0.99,0.21,0,0.93,0.73,1,1
0.2,0,0.99,0.23,0.05,0.98,-0.05,1,0
0.23,0.05,0.99,0.18,0,0.88,1,0.55,1
0.21,0,0.99,0.23,0.03,0.96,0,1,0
0.23,0.06,0.99,0.17,0,0.85,1,0.36,1
0.16,0,0.99,0.24,0.03,0.91,0.09,1,0
0.25,0.07,0.99,0.23,0,0.93,-0.22,1,1
0.18,0,0.98,0.21,0.03,0.99,1,0.41,0
0.22,0.05,0.99,0.19,0,0.92,-0.44,1,1
0.18,0.01,0.99,0.23,0,0.96,-0.31,1,0
0.24,0.05,0.99,0.27,0,0.94,0.8,1,1
0.19,0,0.96,0.29,0.05,0.99,-0.93,1,0
0.21,0.05,0.99,0.17,0,0.88,1,-0.4,1
0.18,0,0.95,0.23,0.03,0.99,1,0.48,0
0.23,0.05,0.99,0.2,0,0.95,-0.03,1,1
0.19,0,0.96,0.31,0.05,0.99,-0.65,1,0
0.25,0.08,0.99,0.18,0,0.93,0,1,1
0.21,0,0.99,0.25,0.04,0.98,-0.1,1,0
0.27,0.07,0.99,0.18,0,0.87,-0.82,1,1
0.18,0,0.9,0.25,0.03,0.99,1,0.62,0
0.23,0.05,0.99,0.18,0,0.83,0.52,1,1
0.18,0,0.99,0.25,0.03,0.95,0.03,1,0
0.24,0.07,0.99,0.19,0,0.89,1,0.42,1
0.23,0,0.99,0.27,0.05,0.96,-0.02,1,0
0.23,0.04,0.99,0.23,0,0.91,0.55,1,1
0.17,0,0.88,0.23,0.01,0.99,0.92,1,0
